"Guid","CurrencyIsoCode","Name","SBQQDS__EnvelopeId__c","SBQQDS__ErrorMessage__c","SBQQDS__SenderURL__c","SBQQDS__SignedDate__c","SBQQDS__VoidedReason__c","SBQQ__AttachmentId__c","SBQQ__CustomerAmount__c","SBQQ__DocumentId__c","SBQQ__ElectronicSignature__c","SBQQ__Key__c","SBQQ__ListAmount__c","SBQQ__NetAmount__c","SBQQ__OutputFormat__c","SBQQ__PaperSize__c","SBQQ__QuoteTemplate__c","SBQQ__Quote__c","SBQQ__SignatureStatus__c","SBQQ__Template__c","SBQQ__Version__c"
23cca53f-5156-4d01-be55-795ac149e452,USD,Q-11157-20190523-1247,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",82357.81,0153h000001A8n4AAC,false,a0l1I00000G6vZxQAJ_1,109840.0,82357.81,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,1dc7637a-add8-47fa-8891-6c7babb0f1ea,"#N/A",Proposal,1.0
26c96d2c-7d7a-4859-b118-00c5ce1abc6c,USD,Q-08539-20190311-1625,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",730936.37,0153h000001A8ljAAC,false,a0l1I00000A2GDfQAN_1,2735801.0,730936.37,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,5622336a-b568-4ba1-8eff-9273d0f24e7e,"#N/A",Proposal,1.0
28d9c1f5-43e2-4a57-bcc9-2446ebc37f47,USD,Q-10747-20190515-0840,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",42896.0,0153h000001A8mpAAC,false,a0l1I00000CRhYQQA1_1,42896.0,42896.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,799c42f8-b8c7-4bf2-8efb-6d2fe9cf5d6a,"#N/A",Proposal,1.0
2a1220f6-be5f-4e7a-b4f2-fdc5820b0aa9,USD,Q-08986-20190322-1333,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",104585.46,0153h000001A8m2AAC,false,a0l1I00000A3BXnQAN_1,123401.0,104585.46,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,c84c9e87-2dc6-4bcf-95ca-410f08fd50cc,"#N/A",Proposal,1.0
3004f309-b31e-4a33-a7c7-6307afbb054e,USD,Q-10715-20190513-1520,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",330000.0,0153h000001A8mhAAC,false,a0l1I00000CRVmPQAX_1,357080.0,330000.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,9a17dbc4-8555-4c27-a48e-1c3c6a6d4cea,"#N/A",Proposal,1.0
30dcc19a-d6ad-46ae-87ee-0cb391f492a8,USD,Q-07302-20190220-0919,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",292278.53,0153h000001A8lQAAS,false,a0l1I0000099arYQAQ_1,362691.0,292278.53,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,58607b1c-bc68-44b7-9d45-25f6d981e3cc,"#N/A",Proposal,1.0
319c3823-0988-40e4-ab29-1db119b28050,USD,Q-07822-20190301-1121,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",77227.2,0153h000001A8lXAAS,false,a0l1I00000A1iZCQAZ_1,86897.0,77227.2,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,7f59852b-5a8a-459e-a088-26b8adb0443b,"#N/A",Proposal,1.0
3521777f-bf49-4405-b825-d4f273efa0a5,USD,Q-07348-20190220-1045,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",215378.53,0153h000001A8lRAAS,false,a0l1I00000A15g1QAB_1,286691.0,215378.53,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,10efd4fe-d61b-4962-9960-00b928246e87,"#N/A",Proposal,1.0
3582d1c3-2707-4714-8948-8dd82baf0ea3,USD,Q-08768-20190317-1903,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",114596.0,0153h000001A8lrAAC,false,a0l1I00000A2iI2QAJ_1,144397.0,114596.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,d10b09fd-f403-4929-80b7-c5c70c7c0fa4,"#N/A",Proposal,1.0
3a74fd7c-9930-404c-a454-c81d014b5a85,USD,Q-07772-20190301-0333,"#N/A",One or both of Username and Password are invalid. Contact your Salesforce Administrator for assistance.,"#N/A","#N/A","#N/A","#N/A",25847.5,0153h000001A8lVAAS,true,a0l1I00000A1gPeQAJ_1,45325.0,25847.5,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,c0629566-2492-4509-96de-61020ecc7a3c,"#N/A",Proposal,1.0
3de19f92-78db-4e90-ac3e-7382fe9b85ca,USD,Q-11226-20190528-0428,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",85000.0,0153h000001A8mFAAS,false,a0l1I00000849qTQAQ_1,103226.67,85000.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,5cd0abb9-5d93-4e01-8900-c668b14aa5e9,"#N/A",Proposal,1.0
4665cbe3-3f8f-45c4-9546-c3f3d5cc644e,USD,Q-08921-20190319-1448,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",80327.2,0153h000001A8m1AAC,false,a0l1I00000A2sbBQAR_1,88397.0,80327.2,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,d951444d-e19a-49b2-9b58-464223117875,"#N/A",Proposal,1.0
480bc10d-9984-4962-af0c-f848a4052d26,USD,Q-10488-20190508-0710,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",421154.9,0153h000001A8mXAAS,false,a0l1I00000CR7klQAD_1,484122.4,421154.9,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,6aebb034-8de2-46e6-967e-737487929f36,"#N/A",Proposal,1.0
4b6dc7d9-f7c2-46a8-8120-f82ce11a3daf,USD,Q-07347-20190509-0930,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3865.36,0153h000001A8mfAAC,false,a0l1I00000A15WyQAJ_1,3889.24,3865.36,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,62b1845e-2263-454b-897a-593465c6abbf,"#N/A",Proposal,1.0
5068702e-6f6a-4f21-81f2-d3610b9ea0fa,USD,Q-10501-20190508-0826,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",450000.0,0153h000001A8mZAAS,false,a0l1I00000CR8bDQAT_1,1582000.0,450000.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,bc37a665-59c0-4efe-b929-035c73757fb7,"#N/A",Proposal,1.0
511e5342-a1bd-4c5d-8c05-32e62be2b4ed,EUR,Q-10498-20190508-0803,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",1500000.0,0153h000001A8mYAAS,false,a0l1I00000CR8T9QAL_1,4499200.0,1500000.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,0cf41b5b-33e1-4aae-9e3b-7224f56bfee7,"#N/A",Proposal,1.0
54c7e64a-0fc4-4c74-9b71-aee33724ee4a,EUR,Q-09760-20190416-0011,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",352025.18,0153h000001A8lOAAS,false,a0l1I00000CPYXrQAP_1,383717.18,352025.18,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,59eb12de-ee57-4258-8559-1542da02cff1,"#N/A",Proposal,1.0
55dfd333-9fbb-4568-b9b0-7ac297276da7,EUR,Q-09029-20190326-0507,"#N/A",One or both of Username and Password are invalid. Contact your Salesforce Administrator for assistance.,"#N/A","#N/A","#N/A","#N/A",250000.0,0153h000001A8m3AAC,true,a0l1I00000A3HjXQAV_1,306470.0,250000.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,9e1d7d24-5418-4879-9432-c1440ec820b7,"#N/A",Proposal,1.0
5c4599c5-affc-4cc3-835a-5faa55b4c514,USD,Q-07397-20190221-0947,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",42896.0,0153h000001A8lSAAS,false,a0l1I00000A1BgRQAV_1,42896.0,42896.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,808f145a-0490-445b-8a3b-18e1b8e361e8,"#N/A",Proposal,1.0
5da70b5b-830e-400d-bf7c-49d451a14c8f,USD,Q-09689-20190412-1245,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",50000.0,0153h000001A8lNAAS,false,a0l1I00000CPPEjQAP_1,80621.33,50000.0,PDF,Default,18f59a9d-f838-4aca-969d-024238ebf298,6cf55728-21f4-4a70-9487-26511ab284ed,"#N/A",Quote,1.0
5f864a75-e128-4f0a-afdc-d4bd2af31186,USD,Q-07534-20190226-0803,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",1.001584046E7,0153h000001A8lTAAS,false,a0l1I00000A1U8kQAF_1,1.0297281E7,1.001584046E7,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,2bb436cd-647a-4adc-b108-0e4e2da4bd9a,"#N/A",Proposal,1.0
64bbc0d9-4f65-4b1f-94cc-4876b0e992f9,USD,Q-10915-20190520-1622,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",472325.22,0153h000001A8mxAAC,false,a0l1I00000CS0KMQA1_1,583002.0,472325.22,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,c6921c86-af75-4289-95a7-4d2858c424fa,"#N/A",Proposal,1.0
695f0e2e-eef2-4f42-8470-dc266091bd90,USD,Q-08757-20190317-0957,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",97205.46,0153h000001A8lpAAC,false,a0l1I00000A2iGuQAJ_1,113201.0,97205.46,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,e3017be6-dcb0-4ead-9096-1f0314fabfc5,"#N/A",Proposal,1.0
6d078d4e-ae40-420a-84ae-18b576497791,EUR,Q-10582-20190509-0825,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",450000.0000000000000000000000000000000006,0153h000001A8mdAAC,false,a0l1I00000CRHQiQAP_1,1535200.0,450000.0000000000000000000000000000000006,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,eb7e83fe-b63e-423b-a03d-588abb896f21,"#N/A",Proposal,1.0
78607b89-adf9-4c16-85c6-331ae04296fe,USD,Q-11354-20190529-1601,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",47261.6,0153h000001A8mIAAS,false,a0l1I0000084PrhQAE_1,51897.0,47261.6,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,79628258-a08e-4db1-8d4f-d7002de139a3,"#N/A",Proposal,1.0
7f4168af-3164-4a8d-84e0-03689457afc6,USD,Q-10561-20190508-2213,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",450000.0,0153h000001A8mbAAC,false,a0l1I00000CRFC2QAP_2,1582000.0,450000.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,96ffb65d-82af-4781-8153-fde9bfc8428d,"#N/A",Proposal,2.0
8058958d-72a4-435b-800d-edd70d044285,USD,Q-10741-20190515-0501,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",106759.56,0153h000001A8moAAC,false,a0l1I00000CRh5iQAD_1,123430.07,106759.56,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,4d4f288c-735e-48b5-970a-f642e109db26,"#N/A",Proposal,1.0
81015b29-2a49-4a34-a15f-66a43138959f,USD,Q-10904-20190520-1226,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",100000.0,0153h000001A8muAAC,false,a0l1I00000CRzCoQAL_1,137090.0,100000.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,5959e7e5-803c-4def-8345-352064417ad1,"#N/A",Proposal,1.0
815c8ad0-b9ad-4751-a5b0-99f26828c7bd,USD,Q-08868-20190319-0539,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",76396.0,0153h000001A8lzAAC,false,a0l1I00000A2oEvQAJ_1,88397.0,76396.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,97b88979-2810-4d8d-98cd-228fbee12c5a,"#N/A",Proposal,1.0
848fb667-6e32-4c66-9a67-795b43504f2e,USD,Q-08392-20190307-1820,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",252692.32,0153h000001A8leAAC,false,a0l1I00000A26k2QAB_1,595601.0,252692.32,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,170595ef-27a6-43dc-8f3b-f951114ac6fc,"#N/A",Proposal,1.0
85d93a80-ec69-4b1f-9cb6-72cefe77983f,USD,Q-10891-20190519-0801,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",21908.0,0153h000001A8mrAAC,false,a0l1I00000CRyMtQAL_1,21908.0,21908.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,7020b5ea-6c5c-42f9-b448-ebbc227a3b6b,"#N/A",Proposal,1.0
