"Guid","CurrencyIsoCode","SBQQ__Active__c","SBQQ__AssetQuoteLineQuantity__c","SBQQ__AssetQuoteLine__c","SBQQ__Quote__c","SBQQ__SubscriptionBasePrice__c","SBQQ__SubscriptionNetTotal__c","SBQQ__SubscriptionQuoteLine__c"
02db9688-99b4-4e9e-a1ec-a81d8aa4f9f0,USD,false,1.0,"#N/A","#N/A",1805.0,6308.3,"#N/A"
02de59ee-d4bb-4821-bc66-d648ed57a564,USD,false,1.0,f4a50165-57f5-4bf6-aceb-9d523921bced,91fa041b-a097-43aa-ac43-797b96b631f2,10000.0,4400.0,55d5197c-17f7-4745-ae29-f7b6ba0014e2
02e4587a-3413-46fc-a3d4-df4fffbef0b0,USD,false,1.0,"#N/A","#N/A",10000.0,1417.4,"#N/A"
02f791c2-95fb-40db-90af-4b5157aeb34d,USD,false,0.0,"#N/A","#N/A",10000.0,0.0,"#N/A"
02f930d1-7c52-4533-b0d9-744f13eaa223,USD,false,1.0,"#N/A","#N/A",17500.0,5500.0,"#N/A"
0300f667-8508-4073-8533-1a562a492151,USD,false,1.0,"#N/A","#N/A",10000.0,5500.0,"#N/A"
030249da-af92-4398-82bd-98e29aa99594,USD,false,0.0,"#N/A","#N/A",10000.0,0.0,"#N/A"
03175cac-7307-4900-b9c7-5e0f691249a7,USD,false,1.0,2b1b2584-6aad-4598-8a8f-f67a87c300c9,6447e2b6-dda6-432e-bb1d-b786d596ab43,1790.0,39810.42,10ac51c9-c332-455a-b68c-bff4bb3cc569
031bea66-fe63-4e4e-9539-41684187d8ba,USD,false,1.0,"#N/A","#N/A",1122.0,2221.88,"#N/A"
0325f1d9-d624-4803-9342-c369436c240f,GBP,false,1.0,"#N/A","#N/A",8000.0,13200.0,"#N/A"
0338f651-c675-4055-b7f6-7ecef245c598,USD,false,1.0,"#N/A","#N/A",17500.0,5351.45,"#N/A"
033fc611-3e7c-49bc-af8d-88f3ad32bd06,USD,false,1.0,"#N/A","#N/A",17500.0,5313.1,"#N/A"
03481453-1d38-4a97-ba16-e19c7755d912,USD,false,0.0,"#N/A","#N/A",10000.0,0.0,"#N/A"
034a33c0-1b54-4fe3-9c29-52a5b2319ef0,USD,false,1.0,"#N/A","#N/A",10000.0,3882.97,"#N/A"
035352b3-3f20-40b8-bbef-8f6328a96784,USD,false,1.0,"#N/A","#N/A",10000.0,5500.0,"#N/A"
03537b7c-e92a-432c-b803-81c22befff5d,USD,false,0.0,"#N/A","#N/A",17500.0,0.0,"#N/A"
0357f494-aa91-45da-98de-de4c2a33afc5,USD,false,0.0,"#N/A","#N/A",2000.0,0.0,"#N/A"
03638dac-9ee4-4f2d-97af-9348ab58c854,USD,false,0.0,"#N/A","#N/A",1332.3,0.0,"#N/A"
0369649a-4723-468b-a5de-3808c1d1775b,USD,false,1.0,"#N/A","#N/A",17500.0,0.0,"#N/A"
03763a39-192c-4e6c-aa8c-15ca495c5cba,USD,false,1.0,"#N/A","#N/A",23.2,6759.04,"#N/A"
037e50e0-413c-40fe-ba0d-894e6e210eff,USD,false,1.0,"#N/A","#N/A",10000.0,5900.0,"#N/A"
038d27a2-e68b-4347-8b86-6f477f500307,USD,false,1.0,"#N/A","#N/A",10000.0,5500.0,"#N/A"
0396b0be-cc51-4322-89e4-1567249ec823,USD,false,1.0,"#N/A","#N/A",17500.0,5195.94,"#N/A"
03999037-14a5-44c7-b272-513da78b5b7b,USD,false,10.0,"#N/A","#N/A",10000.0,20000.0,"#N/A"
039e965d-c27c-4364-b643-b739ea352e00,USD,false,1.0,e928acb2-cbea-4b26-99ce-6ce2861d288d,847a70f9-48f9-44c0-bfc0-7eb954d8e134,670.0,3150.4,247b171d-bb00-4e2a-99a2-a49c636d27b1
03a1225e-330d-4b93-866f-d931048b349b,USD,false,1.0,"#N/A","#N/A",10000.0,5500.0,"#N/A"
03ae420a-d1bc-4997-829c-047acfd48cd6,USD,false,1.0,"#N/A","#N/A",10000.0,6000.0,"#N/A"
