"Guid","CurrencyIsoCode","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
52a30c69-eae9-46a6-b069-03b67897a94d,USD,false,"#N/A",7073h00000bxo6Y,"#N/A",a0l1I000003eBhQQAU::QuoteCalculator,"#N/A","#N/A"
52a5d3b6-846f-46f3-a2ec-7acbe2890a1e,USD,false,"#N/A",7073h00000bxoHk,"#N/A",8001I000000MBvIQAW::QuoteCalculator,"#N/A","#N/A"
52a8abe7-0fec-463e-8958-94e698014613,USD,false,"#N/A",7073h00000bxpZM,"#N/A",a0l1I00000G6ikFQAR::QuoteCalculator,"#N/A","#N/A"
52af0833-572d-4ff4-9014-b5904a7fe180,USD,false,"#N/A",7073h00000bxosM,"#N/A",a0l1I00000COEqQQAX::QuoteCalculator,"#N/A","#N/A"
52b1f961-cc02-4ffc-819e-d233caf8805b,USD,false,"#N/A",7073h00000bxod6,"#N/A",8001I000000qPfAQAU::QuoteCalculator,"#N/A","#N/A"
52ba0c25-9877-4e69-a30d-a4b6d0a8bf24,USD,false,"#N/A",7073h00001KHS6g,"#N/A",a0l3h000000vrYBAAY::QuoteCalculator,"#N/A","#N/A"
52c82410-34fc-4b11-8342-5977572ba040,USD,false,"#N/A",7073h00000bxofb,"#N/A",8011I000002cW7vQAE::OrderCalculator,"#N/A","#N/A"
52cc876a-e661-4863-bc1e-d34238c5ee49,USD,true,"#N/A",7073h00000bxpWV,"#N/A",a0l1I00000CRvUuQAL::QuoteDocumentService,"#N/A","#N/A"
52cd113b-3825-4f83-be45-401a2862ae25,EUR,false,"#N/A",7073h00000bxpE7,"#N/A",a0l1I00000CQCXkQAP::QuoteCalculator,"#N/A","#N/A"
52d83b53-2c23-429c-94c3-4a63279a8706,USD,false,"#N/A",7073h00000bxnod,"#N/A",a0l1I000005V8O9QAK::QuoteCalculator,"#N/A","#N/A"
52d9253a-9a28-4f92-b4e0-6291f5a32d9f,USD,false,"#N/A",7073h00000bxnPM,"#N/A",a0l1I000005VZVQQA4::QuoteDocumentService,"#N/A","#N/A"
52dce276-8228-41ae-8343-a4c10575ca3d,USD,false,"#N/A",7073h00000bxogh,"#N/A",0061I00000GyxUUQAZ::QuoteCalculator,"#N/A","#N/A"
52e1c102-fd0c-4865-a916-794f2fcc9a07,USD,false,"#N/A",7073h00000bxpIT,"#N/A",a0l1I00000CQZhkQAH::QuoteCalculator,"#N/A","#N/A"
